hour,txn_count,fraud_count,total_amount,avg_amount,fraud_amount,fraud_rate,fraud_amount_share,txn_count_roll_mean_24,fraud_count_roll_mean_24,fraud_rate_roll_mean_24,fraud_rate_roll_std_24,avg_amount_roll_mean_24,fraud_rate_zscore_like,fraud_count_spike_flag,fraud_rate_spike_flag
1,2708,16,2.854292e+08,105402.21,3.740247e+06,0.005908419497784343,0.0131039405,2708.0,16.0,0.005908419497784343,0.0,105402.2109375,0.0,False,False
2,1014,8,8.592161e+07,84735.31,4.1865925e+06,0.007889546351084813,0.048725724,1861.0,12.0,0.006898982924434578,0.001400868232359529,95068.76171875,0.7071067811865475,False,False
3,552,4,4.3293884e+07,78430.95,66832.74,0.007246376811594203,0.0015436994,1424.6666666666667,9.333333333333334,0.007014780886821119,0.0010106648339067111,89522.82552083333,0.22915205615481146,False,False
4,565,10,7.291003e+07,129044.305,2.6400274e+07,0.017699115044247787,0.36209384,1209.75,9.5,0.009685864426177786,0.0054055260028868304,99403.1953125,1.4824182907991768,False,False
5,665,6,4.554809e+07,68493.37,381841.53,0.009022556390977444,0.008383261,1100.8,8.8,0.009553202819137718,0.004690711996683076,93221.2296875,-0.11312705374695946,False,False
6,1660,22,1.6431054e+08,98982.26,974869.6,0.01325301204819277,0.0059330924,1194.0,11.0,0.010169837690646893,0.004459109173055538,94181.40104166667,0.6914328037035206,False,False
7,6837,12,8.329308e+08,121826.945,1.2414695e+07,0.0017551557700745941,0.014904833,2000.142857142857,11.142857142857142,0.008967740273422278,0.005165750631274219,98130.76450892857,-1.3962316453453307,False,False
8,21097,12,3.4396024e+09,163037.52,1.5890404e+06,0.000568801251362753,0.00046198373,4387.25,11.25,0.007917872895664839,0.005629441511455642,106244.1083984375,-1.3054708232330114,False,False
9,37628,19,7.0083794e+09,186254.38,1.147663e+07,0.0005049431274582757,0.0016375583,8080.666666666667,12.11111111111111,0.0070942140325307755,0.005816786962740784,115134.13802083333,-1.1328025157668373,False,False
10,35991,11,7.124215e+09,197944.34,6.935977e+06,0.0003056319635464422,0.0009735777,10871.7,12.0,0.006415355825632342,0.005889316564913597,123415.15859375,-1.0374249362796033,False,False
11,37241,7,7.0150666e+09,188369.45,2.5898792e+06,0.0001879648774200478,0.0003691881,13268.90909090909,11.545454545454545,0.0058492293757948614,0.005894161125287518,129320.09446022728,-0.960486891694644,False,False
12,36153,14,6.754285e+09,186825.02,1.457652e+07,0.00038724310568970764,0.0021581145,15175.916666666666,11.75,0.005394063853286098,0.00583686201410527,134112.17122395834,-0.8577932347033363,False,False
13,37515,14,6.847541e+09,182528.1,2.8794106e+07,0.00037318405970944955,0.0042050285,16894.30769230769,11.923076923076923,0.005007842330703279,0.00575925777879784,137836.47295673078,-0.8047318680639515,False,False
14,41485,12,6.874187e+09,165702.95,1.7247376e+07,0.0002892611787393034,0.002509006,18650.785714285714,11.928571428571429,0.00467080081984871,0.005675204180121174,139826.93582589287,-0.7720496923188858,False,False
15,44609,20,7.183723e+09,161037.53,4.648823e+06,0.000448340021071981,0.0006471328,20381.333333333332,12.466666666666667,0.004389303433263594,0.005576377573787968,141240.97552083334,-0.7067246362076165,False,False
16,42471,10,6.9600845e+09,163878.52,1.1763104e+07,0.00023545478090932637,0.0016900806,21761.9375,12.3125,0.004129687892491452,0.005486467417192562,142655.82177734375,-0.7097887976841051,False,False
17,43361,7,7.116326e+09,164118.12,4.323373e+06,0.0001614353912502018,0.0006075288,23032.470588235294,12.0,0.0038962612747713795,0.005398730191864089,143918.31020220587,-0.6917970987232475,False,False
18,49579,16,7.255072e+09,146333.56,1.0512216e+07,0.0003227172794933339,0.0014489472,24507.277777777777,12.222222222222221,0.003697731052811488,0.005304833329733864,144052.49088541666,-0.6362148560636256,False,False
19,51352,11,7.1038464e+09,138336.31,3.1410192e+07,0.00021420782053279327,0.0044215755,25920.157894736843,12.157894736842104,0.0035143877247968192,0.0052169468323251976,143751.63939144736,-0.6325883721519802,False,False
20,40625,4,5.173931e+09,127358.305,929279.75,9.846153846153846e-05,0.00017960806,26655.4,11.75,0.0033435914154800552,0.005134930638841288,142931.97265625,-0.6319715114498196,False,False
21,19152,5,2.239833e+09,116950.35,1.910537e+06,0.0002610693400167084,0.0008529819,26298.095238095237,11.428571428571429,0.0031968046499818007,0.005049911927693362,141694.75260416666,-0.5813438634178403,False,False
22,12635,23,1.4561489e+09,115247.24,1.1429115e+07,0.0018203403244954491,0.007848864,25677.045454545456,11.954545454545455,0.003134238089732421,0.004936939204803194,140492.59303977274,-0.26613610391610015,False,False
23,6144,2,6.5711795e+08,106952.79,292254.2,0.0003255208333333333,0.0004447515,24827.782608695652,11.521739130434783,0.003012119948149852,0.004858856207741556,139034.34069293478,-0.5529283024543911,False,False
24,3216,6,3.9216304e+08,121941.24,2.570054e+06,0.0018656716417910447,0.0065535344,23927.291666666668,11.291666666666666,0.002964351268718235,0.004757813800305638,138322.12825520834,-0.23092110642425984,False,False
25,1598,18,1.9067082e+08,119318.41,8.233326e+06,0.011264080100125156,0.04318084,23881.041666666668,11.375,0.003187503793815769,0.005020259180011331,138901.9697265625,1.6087966809496788,False,False
26,440,12,5.3827748e+07,122335.79,6.9803155e+06,0.02727272727272727,0.12967876,23857.125,11.541666666666666,0.003995136332217538,0.006984465214353796,140468.65625,3.332766393148023,False,True
27,41,8,1.0549063e+07,257294.22,5.076953e+06,0.1951219512195122,0.48127052,23835.833333333332,11.708333333333334,0.011823285265880787,0.03965622610059055,147921.29231770834,4.622191367597175,False,True
28,4,4,8.647152e+06,2.161788e+06,8.647152e+06,1.0,1.0,23812.458333333332,11.458333333333334,0.052752488805703796,0.2056193269851371,232618.9462890625,4.606801924134138,False,True
29,4,4,1.2176805e+06,304420.12,1.2176805e+06,1.0,1.0,23784.916666666668,11.375,0.09404321562274641,0.28183185220167045,242449.22786458334,3.2145294341286093,False,True
30,8,8,975200.94,121900.12,975200.94,1.0,1.0,23716.083333333332,10.791666666666666,0.1351576734540717,0.33625381897259,243404.138671875,2.5719925774773924,False,False
31,12,12,1.2927128e+07,1.0772606e+06,1.2927128e+07,1.0,1.0,23431.708333333332,10.791666666666666,0.1767512086303186,0.37816306546089357,283213.8753255208,2.1769677331294397,False,False
32,12,12,9.36182e+06,780151.7,9.36182e+06,1.0,1.0,22553.166666666668,10.791666666666666,0.21839417524484514,0.41147914763536625,308926.9658203125,1.8995028769909326,False,False
33,23616,12,4.2353265e+09,179341.39,6.2990096e+07,0.0005081300813008131,0.014872548,21969.333333333332,10.5,0.2183943080345886,0.4114790742629419,308638.9248046875,-0.5295194618185004,False,False
34,30904,22,5.510123e+09,178298.05,1.007479e+07,0.0007118819570282164,0.0018284147,21757.375,10.958333333333334,0.21841123511765034,0.4114697208951146,307820.3291015625,-0.5290774560204264,False,False
35,29157,15,5.295844e+09,181631.98,2.8974164e+07,0.000514456219775697,0.0054711136,21420.541666666668,11.291666666666666,0.2184248389235818,0.4114621977485102,307539.6012369792,-0.529600006747145,False,False
36,39774,19,6.8322135e+09,171775.88,1.2872293e+07,0.00047769899934630664,0.0018840589,21571.416666666668,11.5,0.21842860791915084,0.41146011409628624,306912.5537109375,-0.5297011823333175,False,False
37,34000,13,5.9620204e+09,175353.55,1.3887236e+07,0.0003823529411764706,0.0023292836,21424.958333333332,11.458333333333334,0.21842898995587864,0.4114599028354303,306613.6142578125,-0.5299341090398139,False,False
38,31453,16,5.242348e+09,166672.44,1.797083e+07,0.0005086955139414365,0.0034280117,21006.958333333332,11.625,0.21843813305317872,0.41145484718217434,306654.0094401042,-0.52965577883385,False,False
39,23391,12,3.7776632e+09,161500.72,2.0914858e+07,0.0005130178273695011,0.005536454,20122.875,11.291666666666666,0.21844082796177444,0.4114533575451435,306673.3089192708,-0.5296537411545962,False,False
40,34270,14,5.6107633e+09,163722.3,1.8491802e+07,0.0004085205719288007,0.003295773,19781.166666666668,11.458333333333334,0.21844803903640028,0.4114493685340036,306666.7998046875,-0.5299303757382045,False,False
41,36348,12,5.7880684e+09,159240.36,1.3273125e+07,0.0003301419610432486,0.0022931874,19488.958333333332,11.666666666666666,0.2184550684768083,0.41144547847639634,306463.5595703125,-0.5301429665079631,False,False
42,41304,14,6.3605745e+09,153994.16,2.5926528e+07,0.0003389502227387178,0.0040761298,19144.166666666668,11.583333333333334,0.21845574484944352,0.41144510431245507,306782.7509765625,-0.5301236844005925,False,False
43,45060,13,6.511754e+09,144512.97,3.9829385e+06,0.00028850421660008875,0.00061165367,18882.0,11.666666666666666,0.218458840532613,0.41144339116210676,307040.1116536458,-0.5302560230699023,False,False
